dataset_split,treatment_flg,target,total_spent,transaction_cnt,unique_product_cnt,days_since_last_purchase,spent_last_7d,spent_last_30d,spent_last_90d,high_value_user,inactive_user,frequent_user,diverse_user
train,0.0,1.0,40809.0,4,46,1,15362.0,15362.0,21676.0,0,0,0,0
train,1.0,1.0,56791.0,31,94,6,972.0,16402.0,48840.0,0,0,1,0
train,1.0,1.0,28494.0,18,58,7,368.0,12816.0,24042.0,0,1,0,0
train,1.0,1.0,43879.62000000001,14,71,1,5757.910000000001,7928.620000000001,28811.49,0,0,0,0
train,1.0,1.0,558970.46,18,175,0,24942.28,147678.31999999995,397060.11,1,0,0,1
train,0.0,1.0,69487.57999999999,15,70,3,9630.819999999998,24100.799999999996,53505.23000000002,0,0,0,0
train,1.0,1.0,29335.46,32,67,2,1494.0,15898.64,25605.129999999997,0,0,1,0
train,0.0,1.0,27800.860000000004,12,55,6,747.03,16858.559999999998,27158.260000000006,0,0,0,0
train,0.0,1.0,73844.96,29,98,1,2506.0,41221.69,73844.96,0,0,1,0
train,0.0,0.0,17545.52,3,25,13,0.0,10218.0,17545.52,0,1,0,0
train,1.0,1.0,37506.0,47,98,8,0.0,12802.0,36468.0,0,1,1,0
train,1.0,0.0,53173.0,15,48,11,0.0,16331.0,51264.0,0,1,0,0
train,0.0,0.0,52727.0,25,85,1,3060.0,28721.0,47606.0,0,0,0,0
train,0.0,1.0,19728.0,15,45,3,3533.0,5423.0,12257.0,0,0,0,0
train,0.0,1.0,81456.0,14,93,7,164.0,40640.0,75626.0,0,1,0,0
train,1.0,0.0,133747.47999999998,35,120,0,2205.0,22170.0,127651.48,1,0,1,1
train,0.0,0.0,37565.320000000014,21,62,5,2060.22,7467.98,31583.909999999993,0,0,0,0
train,0.0,1.0,944946.6400000001,102,249,0,151226.19,442679.11,923028.56,1,0,1,1
train,0.0,0.0,11832.0,8,24,2,172.0,4634.0,11832.0,0,0,0,0
train,1.0,1.0,46158.24999999999,16,58,2,1763.76,19460.089999999993,36929.89,0,0,0,0
train,0.0,1.0,42209.10999999999,12,65,3,11795.689999999997,15333.289999999997,29838.47,0,0,0,0
train,0.0,0.0,50391.0,3,28,5,50180.0,50391.0,50391.0,0,0,0,0
train,1.0,1.0,13969.68,11,41,7,450.0,1865.0,13969.68,0,1,0,0
train,0.0,1.0,24112.53,2,20,4,22645.53,22645.53,22645.53,0,0,0,0
train,0.0,1.0,22403.86,4,21,8,0.0,17566.86,17566.86,0,1,0,0
train,0.0,1.0,14075.010000000002,10,20,12,0.0,12230.640000000001,13477.380000000005,0,1,0,0
train,1.0,0.0,3032.37,3,11,11,0.0,2505.37,2952.37,0,1,0,0
train,0.0,1.0,105353.28,14,88,5,7383.999999999999,76038.84999999998,98054.37999999995,1,0,0,0
train,1.0,0.0,70233.24,29,132,2,1265.0,9692.0,65576.24,0,0,1,1
train,1.0,1.0,45291.82,10,41,13,0.0,8623.28,45291.82,0,1,0,0
train,1.0,0.0,105315.37,31,124,12,0.0,38639.65999999999,96785.56999999999,1,1,1,1
train,0.0,0.0,50909.1,14,72,6,5229.0,5229.0,37560.0,0,0,0,0
train,1.0,0.0,6150.0,1,10,6,6150.0,6150.0,6150.0,0,0,0,0
train,1.0,0.0,11170.0,12,33,4,803.0,2338.0,11170.0,0,0,0,0
train,1.0,0.0,42976.78999999999,12,52,0,13940.0,29968.0,29968.0,0,0,0,0
train,1.0,1.0,3952.9599999999996,4,16,4,94.99,3952.9599999999996,3952.9599999999996,0,0,0,0
train,0.0,1.0,285137.91000000003,25,165,4,1963.4,64845.98,197460.82999999996,1,0,0,1
train,0.0,0.0,51279.05,21,51,13,0.0,6539.35,40377.5,0,1,0,0
train,0.0,1.0,708645.0,53,216,1,29657.0,170112.0,636252.0,1,0,1,1
train,1.0,1.0,42236.099999999984,9,51,5,1618.85,9681.85,37359.89999999999,0,0,0,0
train,1.0,0.0,69520.99000000003,15,77,9,0.0,13511.8,27461.440000000002,0,1,0,0
train,0.0,0.0,215792.43999999997,20,122,2,9552.0,62157.38,198164.15000000002,1,0,0,1
train,0.0,0.0,9644.0,3,16,2,636.0,636.0,9644.0,0,0,0,0
train,0.0,1.0,46641.51000000001,32,104,2,5779.620000000001,17247.84,34053.310000000005,0,0,1,1
train,1.0,0.0,165720.0,18,101,2,22385.0,54161.0,129589.0,1,0,0,1
train,1.0,0.0,67568.07,31,97,2,6905.360000000001,18624.41,40862.609999999986,0,0,1,0
train,1.0,1.0,167784.45,33,144,1,45160.5,98659.06,161668.4,1,0,1,1
train,0.0,0.0,27661.769999999997,7,50,7,4798.4,4798.4,17662.69,0,1,0,0
train,0.0,1.0,42456.91,49,95,0,1565.0,11176.7,30192.91,0,0,1,0
train,0.0,1.0,16827.0,18,49,5,3850.0,7792.0,16827.0,0,0,0,0
